Country Name,Country Code,Year,unemployment,inflation,oil_rents,gdp_growth,exchange_rate
Algeria,DZA,2019,12.302,1.95176821052892,14.1421031504305,0.899999999219148,119.353558333333
Algeria,DZA,2020,14.08,2.41513094083414,9.03841379679424,-4.99999999908597,126.7768
Algeria,DZA,2021,13.656,7.22606307415477,14.4615654623053,3.79999999900707,135.064058333333
Algeria,DZA,2022,12.382,9.26551551551553,,3.60000000094915,141.994975
Algeria,DZA,2023,11.645,9.32217375928322,,4.10000000005964,135.842933333333
Algeria,DZA,2024,11.655,4.04611455313434,,3.69999999907979,134.053241666667
Algeria,DZA,2025,11.633,1.41835151429016,,3.815543719231,131.605925
Libya,LBY,1960,,,,,0.357142999
Libya,LBY,1961,,,,9.89580391901764,0.357142999
Libya,LBY,1962,,,,32.5246410009676,0.357142999
Libya,LBY,1963,,,,35.0203767261421,0.357142999
Libya,LBY,1964,,,,45.0716938128605,0.357142999
Libya,LBY,1965,,11.4249999996678,,28.1488789645187,0.357142999
Libya,LBY,1966,,12.2429137683409,,18.5921637345644,0.357142999
Libya,LBY,1967,,7.29610874230891,,11.1100869677181,0.357142999
Libya,LBY,1968,,0.391231447309205,,33.8639151717893,0.357142999
Libya,LBY,1969,,9.78597055547384,,13.0878908208299,0.357142999
Libya,LBY,1970,,-5.29637142204704,,4.95074891903874,0.357142999
Libya,LBY,1971,,-3.10384940810851,,-5.27752502339565,0.356325749
Libya,LBY,1972,,-0.251023192089008,,9.12584054018133,0.328946999
Libya,LBY,1973,,7.970895563186,,1.93661971417217,0.300025999
Libya,LBY,1974,,7.45845156082894,,22.1934369650876,0.296050999
Libya,LBY,1975,,9.11920030145642,,4.0282685479679,0.296050999
Libya,LBY,1976,,5.47921527968846,,22.8809523817653,0.296050999
Libya,LBY,1977,,6.28021302750907,,8.85272018683338,0.296050999
Libya,LBY,1978,,29.3797941641698,,3.30491881279562,0.296050999
Libya,LBY,1979,,-6.03902875017094,,8.95810997017298,0.296050999
Libya,LBY,1980,,9.73428879471392,,0.68528052679342,0.296050749
Libya,LBY,1981,,11.1997226074894,,-19.1901808011163,0.296051749
Libya,LBY,1982,,10.2588088556284,,2.80605677675277,0.296052999
Libya,LBY,1983,,10.6052036199096,,-2.47222728000759,0.296052999083333
