Country Name,Country Code,Year,unemployment,inflation,oil_rents,gdp_growth,exchange_rate,inflation_next
Algeria,DZA,2013,9.82,3.25423910998847,20.8724313901278,2.60000000061164,79.3684,2.91692692067458
Algeria,DZA,2014,10.207,2.91692692067458,19.3167294732848,4.09999999866501,80.5790166666667,4.78444700693889
Algeria,DZA,2015,11.206,4.78444700693889,11.7459031918092,3.20000000089023,100.691433333333,6.39769480268757
Algeria,DZA,2016,10.202,6.39769480268757,10.0262189142963,3.90000000017621,109.443066666667,5.59111590961664
Algeria,DZA,2017,12.0,5.59111590961664,12.1565741270026,1.49999999895587,110.973016666667,4.26999020467084
Algeria,DZA,2018,12.112,4.26999020467084,15.9428081774505,1.40000000088281,116.593791666667,1.95176821052892
Algeria,DZA,2019,12.302,1.95176821052892,14.1421031504305,0.899999999219148,119.353558333333,2.41513094083414
Algeria,DZA,2020,14.08,2.41513094083414,9.03841379679424,-4.99999999908597,126.7768,7.22606307415477
"Egypt, Arab Rep.",EGY,1991,9.38,19.7485448195578,11.7662441097498,1.12540459520747,3.13800833333333,13.6374241717218
"Egypt, Arab Rep.",EGY,1992,8.92,13.6374241717218,11.1221302701088,4.47285918408184,3.32174833333333,12.0897922868977
"Egypt, Arab Rep.",EGY,1993,10.92,12.0897922868977,9.87234453989827,2.90079079959442,3.3525175,8.15423128587096
"Egypt, Arab Rep.",EGY,1994,10.93,8.15423128587096,7.89742762113067,3.97317218034541,3.38513333333333,15.7422305021596
"Egypt, Arab Rep.",EGY,1995,11.04,15.7422305021596,7.50906073379094,4.64245877240639,3.39220833333333,7.18710369719992
"Egypt, Arab Rep.",EGY,1996,9.0,7.18710369719992,8.40318332983217,4.98873056512208,3.39148333333334,4.62560578826438
"Egypt, Arab Rep.",EGY,1997,8.37,4.62560578826438,6.09921817559871,5.49235474302942,3.38875,3.8725754642749
"Egypt, Arab Rep.",EGY,1998,8.03,3.8725754642749,3.42870521918816,5.575497460986,3.388,3.07949912638332
"Egypt, Arab Rep.",EGY,1999,7.95,3.07949912638332,5.19186775765069,6.05343878467555,3.39525,2.68380535348546
"Egypt, Arab Rep.",EGY,2000,8.98,2.68380535348546,6.47222160611776,6.37000382991766,3.47205,2.26975720475956
"Egypt, Arab Rep.",EGY,2001,9.26,2.26975720475956,5.17066273278314,3.53525197391507,3.973,2.73723855000334
"Egypt, Arab Rep.",EGY,2002,10.01,2.73723855000334,5.90580704386046,2.39020402675627,4.49966666666667,4.50777636319304
"Egypt, Arab Rep.",EGY,2003,10.91,4.50777636319304,7.50637371077042,3.19345473756772,5.850875,11.270619332052
"Egypt, Arab Rep.",EGY,2004,10.32,11.270619332052,9.49448631419397,4.09207161019908,6.19624166666666,4.86939696871988
"Egypt, Arab Rep.",EGY,2005,11.049,4.86939696871988,11.8509312061057,4.4717444710621,5.77883333333333,7.64452644526434
"Egypt, Arab Rep.",EGY,2006,10.49,7.64452644526434,11.7296934107586,6.84383819369884,5.73316666666666,9.3189690579923
"Egypt, Arab Rep.",EGY,2007,8.8,9.3189690579923,10.7818588338143,7.08782742675582,5.63543333333334,18.3168316831684
"Egypt, Arab Rep.",EGY,2008,8.517,18.3168316831684,12.4545677729971,7.15628356711522,5.4325,11.7634954386443
"Egypt, Arab Rep.",EGY,2009,9.087,11.7634954386443,6.24755741424533,4.67359980000663,5.54455330862977,11.2651882653185
"Egypt, Arab Rep.",EGY,2010,8.757,11.2651882653185,7.41778712942652,5.14723485746742,5.6219429176105,10.0649259874818
"Egypt, Arab Rep.",EGY,2011,11.849,10.0649259874818,9.74186285549743,1.76457194806041,5.93282765151515,7.11172943343083
"Egypt, Arab Rep.",EGY,2012,12.597,7.11172943343083,8.38345897037217,2.22619979818487,6.05605833333333,9.46971981064921
"Egypt, Arab Rep.",EGY,2013,13.154,9.46971981064921,7.82863019779494,2.18546605363386,6.870325,10.0702154687481
"Egypt, Arab Rep.",EGY,2014,13.105,10.0702154687481,6.82340013626772,2.91591188052836,7.07760856060606,10.370490343517
"Egypt, Arab Rep.",EGY,2015,13.052,10.370490343517,3.05526433674059,4.37201907781687,7.69125833333333,13.813606214829
"Egypt, Arab Rep.",EGY,2016,12.45,13.813606214829,2.35006516963224,4.34664345601914,10.0254007885465,29.5066083940039
"Egypt, Arab Rep.",EGY,2017,11.767,29.5066083940039,4.12683269397819,4.18122099961562,17.7825335150636,14.4014657807422
"Egypt, Arab Rep.",EGY,2018,9.855,14.4014657807422,5.47658822874947,5.33110861887155,17.7672904218107,9.15279959324804
"Egypt, Arab Rep.",EGY,2019,7.851,9.15279959324804,3.8819618632175,5.55209307084222,16.7705818428763,5.04493288977539
"Egypt, Arab Rep.",EGY,2020,7.974,5.04493288977539,1.85770095140202,3.55016483883115,15.7591729166667,5.21404940513043
Libya,LBY,1991,18.601,11.8960953011251,23.3544314520225,15.6551316776498,0.2807283172785,9.35975158953134
Libya,LBY,1992,18.828,9.35975158953134,22.3747268524689,-2.71227407954309,0.281553354124583,11.0735532720389
